is_weekend,is_peak_hour,is_late_night,is_offpeak,is_ramadan,is_uae_public_holiday,is_suhoor_window,is_iftar_window,event_demand_multiplier,temperature_c,humidity_pct,is_rain,is_sandstorm,weather_demand_factor,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,is_airport_ride,is_intrazone_trip,pickup_density_score,dropoff_density_score,route_direct_distance_km,route_distance_km,route_efficiency_ratio,route_bearing_deg,salik_gates,is_hala_product,is_careem_plus,demand_index,traffic_index,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,rain_x_peak,storm_x_peak,ramadan_x_hour,event_x_peak,airport_x_peak,route_mid_lat,route_mid_lon,lat_delta,lon_delta,bearing_sin,bearing_cos,distance_gap_km,traffic_x_peak,distance_x_traffic,efficiency_x_traffic,product_type_Comfort,product_type_Eco Friendly,product_type_Electric,product_type_Executive,product_type_Hala Kids,product_type_Hala MAX,product_type_Hala Taxi,product_type_Kids,product_type_MAX,product_type_Premier,payment_method_Careem Pay,payment_method_Careem Plus,payment_method_Cash,payment_method_Credit Card,event_type_Art/Culture,event_type_Cultural Event,event_type_Food Festival,event_type_National Holiday,event_type_New Year Event,event_type_Religious Holiday,event_type_Shopping Festival,event_type_Sports Event,event_type_Tech Conference,event_type_Trade Show
0,0,0,1,0,0,0,0,1.0,32.6,60.7,1,0,1.4,25.286768,55.382408,25.110611,55.130862,0,0,0.92,1.2,32.0,42.08,1.315,232.32,0,0,0,1.288,0.957,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001,0,0,0,0,0,25.1986895,55.256635,-0.1761569999999999,-0.2515459999999976,-0.7914369479653857,-0.6112508138196917,10.079999999999998,0.0,40.270559999999996,1.2584549999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1.0,33.6,69.6,0,0,1.0,25.191414,55.270496,25.249191,55.365741,1,0,1.3,1.1,11.54,16.49,1.429,56.14,1,1,0,1.3,0.963,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,-1.0,-1.8369701987210297e-16,0,0,0,0,0,25.220302500000003,55.3181185,0.05777699999999797,0.09524499999999847,0.8304014623363289,0.5571655152193884,4.949999999999999,0.0,15.879869999999999,1.376127,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1.0,23.8,68.7,0,0,1.0,25.098701,55.24947,25.176928,55.269246,0,0,1.05,1.25,8.92,10.06,1.128,12.89,1,0,1,1.05,0.822,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0,0,0,0,0,25.137814499999998,55.259358000000006,0.07822700000000182,0.019776000000000238,0.2230799846889283,0.9748001438403605,1.1400000000000006,0.0,8.26932,0.9272159999999998,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,1.15,31.8,57.4,0,0,1.0,25.210349,55.280595,25.256689,55.370402,1,0,1.3,1.1,10.4,17.12,1.646,60.28,1,0,0,1.57,1.065,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,0,0,0,0,0,25.233519,55.325498499999995,0.046340000000000714,0.08980700000000041,0.868458513820212,0.49576184783945265,6.720000000000001,0.0,18.2328,1.7529899999999998,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,1.0,41.5,55.9,0,0,1.0,25.182787,55.266607,25.122511,55.374686,0,0,1.25,1.05,12.78,16.05,1.256,121.62,1,1,0,1.475,1.184,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,0,0,0,1,0,25.152649,55.320646499999995,-0.06027600000000177,0.10807899999999648,0.8515439766707258,-0.5242831828275692,3.2700000000000014,1.184,19.0032,1.487104,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1.0,38.6,67.2,0,0,1.0,25.211114,55.275673,25.191688,55.275928,0,0,1.35,1.3,2.16,3.3,1.526,179.32,0,1,0,1.35,0.873,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,0,0,0,0,0,25.201400999999997,55.2758005,-0.019425999999999277,0.0002550000000027808,0.011867960298537508,-0.9999295732792147,1.1399999999999997,0.0,2.8809,1.332198,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1.0,33.8,41.0,0,0,1.0,25.259346,55.356201,25.042684,55.244144,1,0,1.1,0.9,26.6,34.1,1.282,205.11,2,1,0,1.298,1.23,-0.9659258262890683,-0.25881904510252063,0.0,1.0,0.8660254037844387,-0.4999999999999998,0,0,0,1,1,25.151015,55.3001725,-0.21666199999999947,-0.11205700000000007,-0.42435746785512196,-0.9054947484527942,7.5,1.23,41.943,1.57686,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1.0,36.7,75.4,0,0,1.0,25.17124,55.219053,25.185552,55.349277,0,0,1.15,0.95,13.2,18.38,1.392,83.05,1,0,0,1.15,0.858,0.9659258262890683,-0.25881904510252063,0.0,1.0,-0.4999999999999997,-0.8660254037844388,0,0,0,0,0,25.178396,55.284165,0.014312000000000324,0.13022399999999834,0.992652124759271,0.12100313719447373,5.18,0.0,15.770039999999998,1.1943359999999998,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1.045,31.2,63.8,0,0,1.0,25.085573,55.144474,25.104922,55.378555,0,0,1.25,1.05,23.67,26.79,1.132,84.74,1,1,0,1.541,1.137,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,0,0,0,1,0,25.0952475,55.261514500000004,0.019348999999998284,0.2340809999999962,0.9957889423626006,0.09167541801580839,3.1199999999999974,1.137,30.46023,1.287084,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0,1.263,21.3,74.0,0,0,1.0,25.248656,55.368489,25.083221,55.141092,1,0,1.1,1.25,29.36,37.26,1.269,231.26,3,0,0,1.639,1.319,-0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0,0,0,1,1,25.165938500000003,55.2547905,-0.16543499999999867,-0.2273969999999963,-0.7799937154685586,-0.6257873471312385,7.899999999999999,1.319,49.145939999999996,1.6738109999999997,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,0,0,1.14,24.2,62.7,0,0,1.0,25.226642,55.281112,25.123592,55.125226,0,0,1.15,1.2,19.43,24.53,1.263,233.89,1,1,0,1.206,0.802,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0,0,0,0,0,25.175117,55.203169,-0.10304999999999964,-0.1558860000000024,-0.8078870374283972,-0.5893373692166207,5.100000000000001,0.0,19.673060000000003,1.012926,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,0,0,1.0,28.5,60.5,0,0,1.0,25.243659,55.301677,25.102858,55.178646,0,0,1.05,1.05,19.96,24.95,1.25,218.36,1,1,0,0.966,0.841,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,-0.8660254037844386,0.5000000000000001,0,0,0,0,0,25.173258500000003,55.2401615,-0.14080099999999973,-0.12303099999999745,-0.6206005077065456,-0.7841269092655715,4.989999999999998,0.0,20.98295,1.05125,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1.263,21.0,68.5,0,0,1.0,25.275034,55.370184,25.220185,55.279334,0,0,0.92,1.35,10.99,14.63,1.332,236.3,1,0,1,1.371,1.247,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0,0,0,1,0,25.247609500000003,55.324759,-0.054849000000000814,-0.0908500000000032,-0.8319541221304826,-0.5548444274479992,3.6400000000000006,1.247,18.243610000000004,1.6610040000000001,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,1.0,38.2,65.1,0,0,1.0,25.114164,55.123957,25.089955,55.180445,0,0,1.2,1.05,6.29,7.88,1.252,115.31,0,0,1,1.2,0.803,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,0,0,0,0,0,25.1020595,55.152201,-0.024208999999999037,0.05648800000000165,0.9040079478731885,-0.42751564904937284,1.5899999999999999,0.0,6.327640000000001,1.0053560000000001,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1.0,34.7,44.3,0,0,1.0,25.259941,55.364865,25.344609,55.422712,1,0,1.1,0.95,11.07,16.41,1.483,31.69,1,0,0,1.1,0.942,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0,0,0,0,0,25.302275,55.3937885,0.08466799999999708,0.05784699999999532,0.5253231485179108,0.8509028085693624,5.34,0.0,15.458219999999999,1.396986,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,1.0,35.1,41.7,0,0,1.0,25.124545,55.123537,25.276267,55.328093,0,0,1.2,1.05,26.61,31.14,1.17,50.61,3,0,0,1.487,1.271,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,25.200406,55.225815,0.15172199999999947,0.20455600000000373,0.7728443431005658,0.6345956360844714,4.530000000000001,1.271,39.578939999999996,1.48707,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1.035,22.7,65.2,0,0,1.0,25.098947,55.265219,25.083594,55.146179,0,0,1.05,1.25,12.11,18.15,1.499,261.92,1,1,0,1.282,1.169,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0,0,0,1,0,25.0912705,55.205698999999996,-0.015352999999997508,-0.11904000000000536,-0.9900727812082175,-0.14055563991041042,6.039999999999999,1.169,21.21735,1.752331,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,1.0,41.9,67.4,0,0,1.0,25.270893,55.334577,25.244893,55.306587,0,0,1.05,1.05,4.03,5.81,1.44,224.24,1,1,0,1.05,0.852,-0.4999999999999997,-0.8660254037844388,0.0,1.0,1.2246467991473532e-16,-1.0,0,0,0,0,0,25.257893000000003,55.320582,-0.0259999999999998,-0.027990000000002624,-0.6976654309408467,-0.7164237199242657,1.7799999999999994,0.0,4.950119999999999,1.22688,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,1.14,23.6,70.6,0,0,1.0,25.179751,55.261125,24.94013,55.09344,0,0,1.25,0.85,31.55,40.47,1.283,212.41,2,0,0,1.766,1.376,-0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0,0,0,1,0,25.0599405,55.177282500000004,-0.23962099999999964,-0.16768499999999875,-0.535974149839805,-0.8442343932247124,8.919999999999998,1.376,55.686719999999994,1.7654079999999996,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,1.0,26.0,55.9,0,0,1.0,25.255276,55.360516,25.112274,55.12439,1,0,1.1,1.2,28.59,35.89,1.255,236.26,3,0,0,1.298,1.205,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,0,0,0,1,1,25.183774999999997,55.242453,-0.14300199999999919,-0.23612599999999873,-0.8315665649359693,-0.5554251057348708,7.300000000000001,1.205,43.24745,1.512275,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1.263,22.5,67.3,0,0,1.0,25.25973,55.372696,25.178471,55.21974,1,0,1.1,1.15,17.84,22.02,1.234,239.61,2,1,0,1.389,0.948,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0,0,0,0,0,25.2191005,55.296217999999996,-0.08125900000000286,-0.1529559999999961,-0.8626019756230764,-0.5058832193808819,4.18,0.0,20.874959999999998,1.169832,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,0,0,1.0,26.8,56.8,0,0,1.0,25.336096,55.420228,25.25331,55.308146,0,0,0.95,1.05,14.55,19.17,1.318,230.78,2,1,0,0.874,0.841,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,25.294703,55.364187,-0.08278600000000225,-0.1120820000000009,-0.7747238216503304,-0.6322997708108924,4.620000000000001,0.0,16.12197,1.108438,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,1.0,30.9,67.2,0,0,1.0,25.076268,55.137934,25.118986,55.133959,0,0,1.25,1.2,4.77,7.86,1.649,355.18,0,1,0,1.312,0.924,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001,0,0,0,0,0,25.097627,55.1359465,0.0427180000000007,-0.003975000000004059,-0.08402567985463655,0.996463589462739,3.0900000000000007,0.0,7.26264,1.523676,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,1.0,30.1,65.7,0,0,1.0,25.215783,55.429956,25.186484,55.359742,0,0,1.0,0.95,7.78,14.64,1.882,245.26,0,1,0,1.05,0.93,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0,0,0,0,0,25.201133499999997,55.394848999999994,-0.029298999999998188,-0.070214,-0.9082162299015545,-0.4185012302770527,6.86,0.0,13.615200000000002,1.75026,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1.0,20.9,71.1,0,0,1.0,25.037991,55.1289,25.116798,55.12556,0,0,0.85,1.2,8.77,14.71,1.678,357.8,0,0,0,0.85,0.855,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,0,0,0,0,0,25.0773945,55.12723,0.07880699999999763,-0.003340000000001453,-0.03838780908751957,0.9992629164106213,5.940000000000001,0.0,12.57705,1.43469,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,1.0,42.2,58.0,0,0,1.0,25.218505,55.276409,25.105437,55.256617,0,0,1.15,1.05,12.73,15.08,1.184,189.01,0,1,0,1.208,0.948,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,0,0,0,0,0,25.161971,55.266513,-0.11306800000000194,-0.019792000000002474,-0.15660684679199183,-0.9876610225871373,2.3499999999999996,0.0,14.29584,1.1224319999999999,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1.0,32.2,58.1,0,0,1.0,25.278011,55.320306,25.079698,55.148322,0,0,1.05,1.05,28.03,29.93,1.068,218.16,2,1,0,1.05,0.837,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,0,0,0,0,0,25.1788545,55.234314,-0.19831299999999885,-0.1719840000000019,-0.6178596130903341,-0.786288432136619,1.8999999999999986,0.0,25.051409999999997,0.893916,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1.0,30.8,48.0,0,0,1.0,25.03998,55.126976,25.105576,55.25774,0,0,0.85,1.05,15.05,22.92,1.522,60.99,1,1,0,1.003,1.135,-0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,0,0,0,1,0,25.072778,55.192358,0.06559599999999932,0.13076399999999921,0.8745350785774191,0.48496226279741345,7.870000000000001,1.135,26.014200000000002,1.72747,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,1.0,25.4,58.5,0,0,1.0,25.24407,55.299716,25.083456,55.136443,0,0,1.05,1.25,24.27,27.47,1.132,222.65,2,1,0,1.102,0.896,-0.2588190451025208,-0.9659258262890683,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,0,0,0,25.163763000000003,55.2180795,-0.16061399999999892,-0.16327299999999667,-0.6775180777551103,-0.7355061211948003,3.1999999999999993,0.0,24.61312,1.0142719999999998,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,1.0,29.6,52.7,0,0,1.0,25.183458,55.276099,25.25091,55.306455,0,0,1.25,1.05,8.1,10.5,1.296,22.15,0,1,1,1.2,0.872,0.9659258262890683,-0.25881904510252063,0.0,1.0,1.0,6.123233995736766e-17,0,0,7,0,0,25.217184000000003,55.291277,0.0674519999999994,0.030355999999997607,0.37703266854230555,0.9261999605116964,2.4000000000000004,0.0,9.156,1.130112,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1.0,41.7,68.1,0,0,1.0,25.041575,55.252958,25.02958,55.120002,0,0,0.9,0.85,13.46,17.84,1.325,264.34,0,0,0,1.062,1.143,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0,0,0,1,0,25.035577500000002,55.18648,-0.01199500000000242,-0.13295600000000007,-0.9951246657324068,-0.098625045759004,4.379999999999999,1.143,20.39112,1.514475,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,1.0,25.2,64.5,0,0,1.0,25.217533,55.280986,25.178764,55.268686,0,0,1.35,1.25,4.49,8.43,1.88,196.02,0,1,0,1.296,0.875,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0,0,10,0,0,25.198148500000002,55.274836,-0.0387689999999985,-0.012299999999996203,-0.275972882648746,-0.9611654217888519,3.9399999999999995,0.0,7.37625,1.645,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,1.0,32.7,43.7,0,0,1.0,25.249393,55.375839,25.096909,55.147339,1,0,1.1,1.25,28.57,35.69,1.249,233.65,3,1,1,1.155,1.045,0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,0,0,0,0,0,25.173151,55.261589,-0.15248400000000117,-0.22849999999999682,-0.8054113464801034,-0.5927162583910676,7.119999999999997,0.0,37.296049999999994,1.305205,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1.0,20.7,60.1,0,0,1.0,25.146956,55.226333,25.122621,55.133947,0,0,0.9,1.2,9.69,16.1,1.662,253.8,1,0,0,0.9,0.925,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0,0,0,0,0,25.1347885,55.180139999999994,-0.02433500000000066,-0.09238599999999764,-0.9602936856769432,-0.2789911060392287,6.410000000000002,0.0,14.892500000000002,1.53735,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
