ride_id,customer_id,captain_id,timestamp,date,hour,minute,day_of_week,day_name,week_of_year,month,month_name,quarter,is_weekend,is_peak_hour,is_late_night,is_offpeak,is_ramadan,is_uae_public_holiday,is_suhoor_window,is_iftar_window,active_event,event_type,event_demand_multiplier,temperature_c,humidity_pct,is_rain,is_sandstorm,weather_demand_factor,pickup_zone,dropoff_zone,pickup_neighborhood,dropoff_neighborhood,pickup_location_source,dropoff_location_source,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,pickup_area_type,dropoff_area_type,is_airport_ride,is_intrazone_trip,pickup_density_score,dropoff_density_score,route_direct_distance_km,route_distance_km,route_efficiency_ratio,route_bearing_deg,salik_gates,salik_cost_aed,product_type,is_hala_product,payment_method,is_careem_plus,demand_index,captain_availability_score,supply_pressure_index,traffic_index,wait_time_min,trip_duration_min,avg_speed_kmh,surge_multiplier,booking_fee_aed,metered_fare_aed,final_price_aed,price_per_km_aed,booking_status,cancellation_reason,captain_rating,customer_rating,eta_deviation_min
RID2025124205,CUS4152855,CAP210219,2025-10-28 06:38:00,2025-10-28,6,38,1,Tuesday,44,10,October,4,False,False,False,True,False,False,False,False,,,1.0,32.6,60.7,True,False,1.4,Al Nahda,Palm Jumeirah,Al Qusais Industrial,Nakhlat Jumeira,polygon,polygon,25.286768,55.382408,25.110611,55.130862,Medium,High,False,False,0.92,1.2,32.0,42.08,1.315,232.32,0,0.0,Comfort,False,Credit Card,False,1.288,0.805,0.195,0.957,3.9,51.4,49.1,1.25,3.0,165.23,152.33,3.62,Completed,,4.4,5.0,0.1
RID2025135422,CUS4209829,CAP339085,2025-09-03 13:43:00,2025-09-03,13,43,2,Wednesday,36,9,September,3,False,False,False,True,False,False,False,False,,,1.0,33.6,69.6,False,False,1.0,Downtown,DXB Airport,Burj Khalifa,Dubai Int'l Airport,polygon,polygon,25.191414,55.270496,25.249191,55.365741,High,High,True,False,1.3,1.1,11.54,16.49,1.429,56.14,1,4.0,Hala Taxi,True,Credit Card,False,1.3,0.919,0.081,0.963,4.0,18.1,54.6,1.0,4.0,51.74,51.34,3.11,Completed,,4.5,4.6,-1.6
RID2025113193,CUS1291367,CAP445798,2025-02-14 15:26:00,2025-02-14,15,26,4,Friday,7,2,February,1,False,False,False,True,False,False,False,False,,,1.0,23.8,68.7,False,False,1.0,Dubai Hills,Business Bay,Hadaeq Sheikh Mohammed Bin Rashid,Business Bay,polygon,polygon,25.098701,55.24947,25.176928,55.269246,Medium,High,False,False,1.05,1.25,8.92,10.06,1.128,12.89,1,4.0,Eco Friendly,False,Careem Plus,True,1.05,1.0,0.0,0.822,3.8,8.8,68.8,1.0,3.5,42.25,39.18,3.89,Completed,,4.2,4.6,-0.9
RID2025104221,CUS3517741,CAP132456,2025-04-06 06:12:00,2025-04-06,6,12,6,Sunday,14,4,April,2,True,False,False,True,False,False,False,False,Formula 1 Weekend,Sports Event,1.15,31.8,57.4,False,False,1.0,Downtown,DXB Airport,Zaa'Beel Second,Dubai Int'l Airport,polygon,polygon,25.210349,55.280595,25.256689,55.370402,High,High,True,False,1.3,1.1,10.4,17.12,1.646,60.28,1,4.0,MAX,False,Cash,False,1.57,0.904,0.096,1.065,5.7,20.3,50.7,1.25,5.0,111.15,108.42,6.33,Completed,,4.7,4.1,-2.0
RID2025059140,CUS1715172,CAP347776,2025-07-30 19:05:00,2025-07-30,19,5,2,Wednesday,31,7,July,3,False,True,False,False,False,False,False,False,,,1.0,41.5,55.9,False,False,1.0,Business Bay,Dubai Hills,Business Bay,Nadd Hessa,polygon,polygon,25.182787,55.266607,25.122511,55.374686,High,Medium,False,False,1.25,1.05,12.78,16.05,1.256,121.62,1,4.0,Hala MAX,True,Careem Pay,False,1.475,0.799,0.201,1.184,4.2,23.9,40.3,1.0,8.0,65.01,62.95,3.92,Completed,,5.0,4.7,3.0
RID2025070457,CUS4893998,CAP259072,2025-08-28 11:36:00,2025-08-28,11,36,3,Thursday,35,8,August,3,False,False,False,True,False,False,False,False,,,1.0,38.6,67.2,False,False,1.0,DIFC,Downtown,Trade Center Second,Burj Khalifa,polygon,polygon,25.211114,55.275673,25.191688,55.275928,High,High,False,False,1.35,1.3,2.16,3.3,1.526,179.32,0,0.0,Hala Taxi,True,Credit Card,False,1.35,0.971,0.029,0.873,1.8,3.5,56.6,1.0,4.0,17.31,17.6,5.34,Completed,,3.9,4.6,0.5
RID2025048635,CUS2215607,CAP387341,2025-04-28 17:07:00,2025-04-28,17,7,0,Monday,18,4,April,2,False,True,False,False,False,False,False,False,,,1.0,33.8,41.0,False,False,1.0,DXB Airport,JVC,Dubai Int'l Airport,Al Hebiah First,polygon,polygon,25.259346,55.356201,25.042684,55.244144,High,Low,True,False,1.1,0.9,26.6,34.1,1.282,205.11,2,8.0,Hala Kids,True,Credit Card,False,1.298,0.834,0.166,1.23,5.4,60.3,34.0,1.0,7.5,113.11,111.63,3.27,Completed,,4.6,3.9,1.7
RID2025012936,CUS4104293,CAP204853,2025-07-28 07:14:00,2025-07-28,7,14,0,Monday,31,7,July,3,False,False,False,True,False,False,False,False,,,1.0,36.7,75.4,False,False,1.0,Jumeirah,Ras Al Khor,Umm Suqeim First,Al Kheeran First,polygon,polygon,25.17124,55.219053,25.185552,55.349277,Medium,Low,False,False,1.15,0.95,13.2,18.38,1.392,83.05,1,4.0,Executive,False,Careem Pay,False,1.15,0.922,0.078,0.858,3.0,21.4,51.5,1.25,4.0,102.62,101.64,5.53,Completed,,4.5,4.6,2.5
RID2025004526,CUS1144209,CAP177086,2025-10-15 09:34:00,2025-10-15,9,34,2,Wednesday,42,10,October,4,False,True,False,False,False,False,False,False,GITEX Global,Tech Conference,1.045,31.2,63.8,False,False,1.0,Marina,Dubai Hills,Marsa Dubai,Nadd Hessa,polygon,polygon,25.085573,55.144474,25.104922,55.378555,High,Medium,False,False,1.25,1.05,23.67,26.79,1.132,84.74,1,4.0,Hala MAX,True,Careem Pay,False,1.541,0.821,0.179,1.137,3.6,36.0,44.7,1.0,8.0,93.81,96.93,3.62,Completed,,4.1,4.6,-1.5
RID2025055495,CUS3724809,CAP109198,2025-01-03 17:25:00,2025-01-03,17,25,4,Friday,1,1,January,1,False,True,False,False,False,False,False,False,Dubai Shopping Festival,Shopping Festival,1.263,21.3,74.0,False,False,1.0,DXB Airport,Marina,Dubai Int'l Airport,Marsa Dubai,polygon,polygon,25.248656,55.368489,25.083221,55.141092,High,High,True,False,1.1,1.25,29.36,37.26,1.269,231.26,3,12.0,Eco Friendly,False,Credit Card,False,1.639,0.814,0.186,1.319,5.3,58.5,38.2,1.5,5.0,204.15,188.51,5.06,Completed,,4.6,4.7,2.0
RID2025143292,CUS2118780,CAP141580,2025-01-17 22:12:00,2025-01-17,22,12,4,Friday,3,1,January,1,False,False,True,False,False,False,False,False,Dubai Shopping Festival,Shopping Festival,1.14,24.2,62.7,False,False,1.0,Jumeirah,Palm Jumeirah,Al Satwa,Nakhlat Jumeira,polygon,polygon,25.226642,55.281112,25.123592,55.125226,Medium,High,False,False,1.15,1.2,19.43,24.53,1.263,233.89,1,4.0,Hala Taxi,True,Credit Card,False,1.206,0.969,0.031,0.802,5.8,18.9,78.0,1.0,4.0,70.34,71.85,2.93,Completed,,5.0,5.0,-0.0
RID2025036689,CUS4036114,CAP436525,2025-10-10 05:49:00,2025-10-10,5,49,4,Friday,41,10,October,4,False,False,True,False,False,False,False,False,,,1.0,28.5,60.5,False,False,1.0,Bur Dubai,Al Barsha,Al Karama,Al Thanyah First,polygon,polygon,25.243659,55.301677,25.102858,55.178646,Medium,Medium,False,False,1.05,1.05,19.96,24.95,1.25,218.36,1,4.0,Hala MAX,True,Cash,False,0.966,1.0,0.0,0.841,3.8,21.2,70.5,1.0,5.0,86.25,87.48,3.51,Completed,,4.2,4.9,0.3
RID2025160506,CUS2510981,CAP460525,2025-01-09 19:29:00,2025-01-09,19,29,3,Thursday,2,1,January,1,False,True,False,False,False,False,False,False,Dubai Shopping Festival,Shopping Festival,1.263,21.0,68.5,False,False,1.0,Al Nahda,DIFC,Al Qusais,Trade Center First,polygon,polygon,25.275034,55.370184,25.220185,55.279334,Medium,High,False,False,0.92,1.35,10.99,14.63,1.332,236.3,1,4.0,Kids,False,Careem Plus,True,1.371,0.878,0.122,1.247,3.4,28.0,31.3,1.25,6.0,81.98,83.11,5.68,Completed,,5.0,4.8,0.7
RID2025007087,CUS1131934,CAP272069,2025-08-26 11:04:00,2025-08-26,11,4,1,Tuesday,35,8,August,3,False,False,False,True,False,False,False,False,,,1.0,38.2,65.1,False,False,1.0,Palm Jumeirah,Al Barsha,Nakhlat Jumeira,Al Thanyah Second,polygon,polygon,25.114164,55.123957,25.089955,55.180445,High,Medium,False,False,1.2,1.05,6.29,7.88,1.252,115.31,0,0.0,Premier,False,Careem Plus,True,1.2,0.89,0.11,0.803,2.3,8.3,56.8,1.25,6.0,64.13,60.95,7.74,Completed,,4.7,5.0,1.2
RID2025105975,CUS1810893,CAP114292,2025-04-08 15:59:00,2025-04-08,15,59,1,Tuesday,15,4,April,2,False,False,False,True,False,False,False,False,,,1.0,34.7,44.3,False,False,1.0,DXB Airport,Sharjah,Dubai Int'l Airport,Sharjah,polygon,centroid,25.259941,55.364865,25.344609,55.422712,High,Low,True,False,1.1,0.95,11.07,16.41,1.483,31.69,1,4.0,Executive,False,Cash,False,1.1,0.932,0.068,0.942,5.5,20.4,48.3,1.0,4.0,76.23,81.97,5.0,Completed,,4.4,4.7,-2.8
RID2025025889,CUS2640510,CAP235915,2025-05-24 09:49:00,2025-05-24,9,49,5,Saturday,21,5,May,2,True,True,False,False,False,False,False,False,,,1.0,35.1,41.7,False,False,1.0,Palm Jumeirah,Deira,Nakhlat Jumeira,Al Muteena,polygon,polygon,25.124545,55.123537,25.276267,55.328093,High,Medium,False,False,1.2,1.05,26.61,31.14,1.17,50.61,3,12.0,Executive,False,Credit Card,False,1.487,0.812,0.188,1.271,5.0,45.9,40.7,1.25,6.0,179.54,179.51,5.76,Completed,,4.5,4.4,-0.4
RID2025126558,CUS1002589,CAP380299,2025-01-07 17:47:00,2025-01-07,17,47,1,Tuesday,2,1,January,1,False,True,False,False,False,False,False,False,Dubai Shopping Festival,Shopping Festival,1.035,22.7,65.2,False,False,1.0,Dubai Hills,Marina,Hadaeq Sheikh Mohammed Bin Rashid,Marsa Dubai,polygon,polygon,25.098947,55.265219,25.083594,55.146179,Medium,High,False,False,1.05,1.25,12.11,18.15,1.499,261.92,1,4.0,Hala Kids,True,Cash,False,1.282,0.938,0.062,1.169,3.1,32.1,33.9,1.0,7.5,59.8,56.32,3.1,Completed,,4.8,4.6,-1.1
RID2025133782,CUS1583037,CAP397190,2025-06-16 14:42:00,2025-06-16,14,42,0,Monday,25,6,June,2,False,False,False,True,False,False,False,False,,,1.0,41.9,67.4,False,False,1.0,Deira,Bur Dubai,Al Khabaisi,Al Karama,polygon,polygon,25.270893,55.334577,25.244893,55.306587,Medium,Medium,False,False,1.05,1.05,4.03,5.81,1.44,224.24,1,4.0,Hala Taxi,True,Careem Pay,False,1.05,0.987,0.013,0.852,2.3,5.5,63.5,1.0,4.0,27.14,27.8,4.79,Completed,,4.6,4.5,-0.2
RID2025089071,CUS2160517,CAP310848,2025-01-11 17:44:00,2025-01-11,17,44,5,Saturday,2,1,January,1,True,True,False,False,False,False,False,False,Dubai Shopping Festival,Shopping Festival,1.14,23.6,70.6,False,False,1.0,Business Bay,Jebel Ali,Business Bay,Jabal Ali Industrial,polygon,polygon,25.179751,55.261125,24.94013,55.09344,High,Low,False,False,1.25,0.85,31.55,40.47,1.283,212.41,2,8.0,Comfort,False,Credit Card,False,1.766,0.934,0.066,1.376,3.3,69.7,34.8,1.5,5.0,211.61,225.11,5.56,Completed,,4.9,4.6,0.8
RID2025058089,CUS2091087,CAP317279,2025-11-11 17:45:00,2025-11-11,17,45,1,Tuesday,46,11,November,4,False,True,False,False,False,False,False,False,,,1.0,26.0,55.9,False,False,1.0,DXB Airport,Palm Jumeirah,Dubai Int'l Airport,Nakhlat Jumeira,polygon,polygon,25.255276,55.360516,25.112274,55.12439,High,High,True,False,1.1,1.2,28.59,35.89,1.255,236.26,3,12.0,Eco Friendly,False,Cash,False,1.298,0.795,0.205,1.205,5.3,55.7,38.7,1.25,5.0,166.97,171.75,4.79,Completed,,4.5,4.6,0.1
RID2025077698,CUS4039151,CAP270035,2025-01-24 10:39:00,2025-01-24,10,39,4,Friday,4,1,January,1,False,False,False,True,False,False,False,False,Dubai Shopping Festival,Shopping Festival,1.263,22.5,67.3,False,False,1.0,DXB Airport,Jumeirah,Dubai Int'l Airport,Jumeira Third,polygon,polygon,25.25973,55.372696,25.178471,55.21974,High,Medium,True,False,1.1,1.15,17.84,22.02,1.234,239.61,2,8.0,Hala MAX,True,Cash,False,1.389,0.879,0.121,0.948,4.0,22.8,58.0,1.0,5.5,96.64,99.14,4.5,Completed,,4.8,4.4,0.0
RID2025160092,CUS4093472,CAP388922,2025-11-05 02:44:00,2025-11-05,2,44,2,Wednesday,45,11,November,4,False,False,True,False,False,False,False,False,,,1.0,26.8,56.8,False,False,1.0,Sharjah,Bur Dubai,Sharjah,Umm Hurair First,centroid,polygon,25.336096,55.420228,25.25331,55.308146,Low,Medium,False,False,0.95,1.05,14.55,19.17,1.318,230.78,2,8.0,Hala MAX,True,Credit Card,False,0.874,0.933,0.067,0.841,5.9,14.7,78.0,1.0,5.0,74.73,71.91,3.75,Completed,,4.2,5.0,0.6
RID2025026005,CUS4890747,CAP384067,2025-10-26 13:03:00,2025-10-26,13,3,6,Sunday,43,10,October,4,True,False,False,True,False,False,False,False,,,1.0,30.9,67.2,False,False,1.0,Marina,Palm Jumeirah,Marsa Dubai,Nakhlat Jumeira,polygon,polygon,25.076268,55.137934,25.118986,55.133959,High,High,False,False,1.25,1.2,4.77,7.86,1.649,355.18,0,0.0,Hala Taxi,True,Credit Card,False,1.312,1.0,0.0,0.924,3.1,9.7,48.4,1.0,4.0,27.84,29.63,3.77,Completed,,4.7,4.8,-1.0
RID2025141819,CUS2127484,CAP485987,2025-10-04 20:54:00,2025-10-04,20,54,5,Saturday,40,10,October,4,True,False,False,True,False,False,False,False,,,1.0,30.1,65.7,False,False,1.0,Mirdif,Ras Al Khor,Mirdif,Al Kheeran First,polygon,polygon,25.215783,55.429956,25.186484,55.359742,Medium,Low,False,False,1.0,0.95,7.78,14.64,1.882,245.26,0,0.0,Hala Taxi,True,Cash,False,1.05,0.905,0.095,0.93,2.7,18.3,47.9,1.0,4.0,42.54,39.4,2.69,Completed,,4.1,4.7,0.6
RID2025042667,CUS1936006,CAP272256,2025-12-30 15:16:00,2025-12-30,15,16,1,Tuesday,1,12,December,4,False,False,False,True,False,False,False,False,,,1.0,20.9,71.1,False,False,1.0,Jebel Ali,Palm Jumeirah,Jabal Ali First,Nakhlat Jumeira,polygon,polygon,25.037991,55.1289,25.116798,55.12556,Low,High,False,False,0.85,1.2,8.77,14.71,1.678,357.8,0,0.0,Comfort,False,Cash,False,0.85,1.0,0.0,0.855,2.7,14.6,60.3,1.0,3.0,50.49,48.97,3.33,Completed,,4.8,4.2,-1.9
RID2025123122,CUS3471322,CAP481988,2025-07-06 14:11:00,2025-07-06,14,11,6,Sunday,27,7,July,3,True,False,False,True,False,False,False,False,,,1.0,42.2,58.0,False,False,1.0,Jumeirah,Dubai Hills,Al Satwa,Hadaeq Sheikh Mohammed Bin Rashid,polygon,polygon,25.218505,55.276409,25.105437,55.256617,Medium,Medium,False,False,1.15,1.05,12.73,15.08,1.184,189.01,0,0.0,Hala Kids,True,Credit Card,False,1.208,0.914,0.086,0.948,2.4,18.1,49.9,1.0,4.5,46.3,50.06,3.32,Completed,,4.4,4.7,-4.3
RID2025044501,CUS4259646,CAP343101,2025-04-25 10:12:00,2025-04-25,10,12,4,Friday,17,4,April,2,False,False,False,True,False,False,False,False,,,1.0,32.2,58.1,False,False,1.0,Deira,Al Barsha,Al Baraha,Al Thanyah Fifth,polygon,polygon,25.278011,55.320306,25.079698,55.148322,Medium,Medium,False,False,1.05,1.05,28.03,29.93,1.068,218.16,2,8.0,Hala Taxi,True,Credit Card,False,1.05,0.889,0.111,0.837,3.0,26.3,68.4,1.0,4.0,83.44,84.71,2.83,Completed,,5.0,4.5,0.2
RID2025047507,CUS3260450,CAP486041,2025-04-18 17:03:00,2025-04-18,17,3,4,Friday,16,4,April,2,False,True,False,False,False,False,False,False,,,1.0,30.8,48.0,False,False,1.0,Jebel Ali,Dubai Hills,Jabal Ali First,Hadaeq Sheikh Mohammed Bin Rashid,polygon,polygon,25.03998,55.126976,25.105576,55.25774,Low,Medium,False,False,0.85,1.05,15.05,22.92,1.522,60.99,1,4.0,Hala Taxi,True,Credit Card,False,1.003,0.925,0.075,1.135,3.3,33.2,41.4,1.0,7.5,67.87,69.51,3.03,Completed,,4.7,4.7,-1.7
RID2025117354,CUS1333401,CAP330735,2025-02-15 13:38:00,2025-02-15,13,38,5,Saturday,7,2,February,1,True,False,False,True,False,False,False,False,,,1.0,25.4,58.5,False,False,1.0,Bur Dubai,Marina,Al Karama,Marsa Dubai,polygon,polygon,25.24407,55.299716,25.083456,55.136443,Medium,High,False,False,1.05,1.25,24.27,27.47,1.132,222.65,2,8.0,Hala Taxi,True,Careem Pay,False,1.102,0.897,0.103,0.896,4.7,25.9,63.7,1.0,4.0,79.49,85.31,3.11,Completed,,4.8,5.0,2.2
RID2025128485,CUS2294924,CAP102395,2025-03-24 07:30:00,2025-03-24,7,30,0,Monday,13,3,March,1,False,False,False,True,True,False,False,False,,,1.0,29.6,52.7,False,False,1.0,Business Bay,Bur Dubai,Business Bay,Al Karama,polygon,polygon,25.183458,55.276099,25.25091,55.306455,High,Medium,False,False,1.25,1.05,8.1,10.5,1.296,22.15,0,0.0,Hala Taxi,True,Careem Plus,True,1.2,0.933,0.067,0.872,4.8,12.4,50.6,1.0,4.0,34.26,32.61,3.11,Completed,,4.6,4.4,0.9
RID2025006502,CUS1977421,CAP200535,2025-06-18 09:44:00,2025-06-18,9,44,2,Wednesday,25,6,June,2,False,True,False,False,False,False,False,False,,,1.0,41.7,68.1,False,False,1.0,JVC,Jebel Ali,Al Hebiah Second,Jabal Ali First,polygon,polygon,25.041575,55.252958,25.02958,55.120002,Low,Low,False,False,0.9,0.85,13.46,17.84,1.325,264.34,0,0.0,MAX,False,Cash,False,1.062,0.881,0.119,1.143,4.8,32.1,33.4,1.0,7.0,101.35,94.64,5.31,Completed,,4.6,4.4,1.9
RID2025007252,CUS2600269,CAP259952,2025-03-26 10:01:00,2025-03-26,10,1,2,Wednesday,13,3,March,1,False,False,False,True,True,False,False,False,,,1.0,25.2,64.5,False,False,1.0,DIFC,Business Bay,Trade Center Second,Business Bay,polygon,polygon,25.217533,55.280986,25.178764,55.268686,High,High,False,False,1.35,1.25,4.49,8.43,1.88,196.02,0,0.0,Hala Taxi,True,Credit Card,False,1.296,0.889,0.111,0.875,4.6,8.7,58.3,1.0,4.0,29.69,31.19,3.7,Completed,,4.5,4.7,-0.3
RID2025159014,CUS2012606,CAP135995,2025-04-19 07:28:00,2025-04-19,7,28,5,Saturday,16,4,April,2,True,False,False,True,False,False,False,False,,,1.0,32.7,43.7,False,False,1.0,DXB Airport,Marina,Dubai Int'l Airport,Marsa Dubai,polygon,polygon,25.249393,55.375839,25.096909,55.147339,High,High,True,False,1.1,1.25,28.57,35.69,1.249,233.65,3,12.0,Hala Taxi,True,Careem Plus,True,1.155,0.862,0.138,1.045,5.9,45.9,46.7,1.0,4.0,117.41,116.21,3.26,Completed,,4.0,4.6,0.7
RID2025068386,CUS2832788,CAP194332,2025-01-02 20:37:00,2025-01-02,20,37,3,Thursday,1,1,January,1,False,False,False,True,False,False,False,False,,,1.0,20.7,60.1,False,False,1.0,Al Quoz,Palm Jumeirah,Al Qouz Industrial,Nakhlat Jumeira,polygon,polygon,25.146956,55.226333,25.122621,55.133947,Low,High,False,False,0.9,1.2,9.69,16.1,1.662,253.8,1,4.0,Comfort,False,Credit Card,False,0.9,0.997,0.003,0.925,2.4,19.6,49.4,1.0,3.0,60.08,57.48,3.57,Completed,,4.3,4.9,-0.4
RID2025026014,CUS3260737,CAP236494,2025-09-19 22:09:00,2025-09-19,22,9,4,Friday,38,9,September,3,False,False,True,False,False,False,False,False,,,1.0,34.1,62.9,False,False,1.0,Business Bay,Mirdif,Business Bay,Mirdif,polygon,polygon,25.182478,55.266691,25.220489,55.432424,High,Medium,False,False,1.25,1.0,17.2,26.24,1.525,75.74,1,4.0,Hala Taxi,True,Credit Card,False,1.15,0.944,0.056,0.818,3.0,20.2,78.0,1.0,4.0,73.49,70.22,2.68,Completed,,4.5,4.7,-0.4
